type,volatile acidity,chlorides,density,alcohol,quality
white,0.27,0.045,1.001,8.8,6
white,0.3,0.049,0.994,9.5,6
white,0.28,0.05,0.9951,10.1,6
white,0.23,0.058,0.9956,9.9,6
white,0.23,0.058,0.9956,9.9,6
white,0.28,0.05,0.9951,10.1,6
white,0.32,0.045,0.9949,9.6,6
white,0.27,0.045,1.001,8.8,6
white,0.3,0.049,0.994,9.5,6
white,0.22,0.044,0.9938,11,6
white,0.27,0.033,0.9908,12,5
white,0.23,0.035,0.9947,9.7,5
white,0.18,0.04,0.992,10.8,5
white,0.16,0.044,0.9912,12.4,7
white,0.42,0.04,1.0002,9.7,5
white,0.17,0.032,0.9914,11.4,7
white,0.48,0.046,0.9928,9.6,6
white,0.66,0.029,0.9892,12.8,8
white,0.34,0.033,0.9917,11.3,6
white,0.31,0.044,0.9955,9.5,5
white,0.66,0.029,0.9892,12.8,8
white,0.31,0.038,0.9912,11,7
white,0.26,0.049,0.993,10.5,8
white,0.67,0.074,0.9937,9.3,5
white,0.27,0.052,0.9951,10,6
white,0.25,0.046,0.9955,10.4,6
white,0.24,0.052,0.993,10,6
white,0.28,0.051,0.9961,10.5,6
white,0.27,0.047,0.9914,11.6,6
white,0.32,0.033,0.9906,12.3,7
white,0.24,0.044,0.9974,10,6
white,0.14,0.042,0.9934,10.2,6
white,0.25,0.05,0.992,10.8,6
white,0.12,0.045,0.9939,9,6
white,0.27,0.044,0.9962,10.2,5
white,0.28,0.08,0.9905,12.8,5
white,0.39,0.051,0.9934,10,5
white,0.33,0.053,0.9906,11.2,6
white,0.24,0.057,0.9999,8.6,5
white,0.24,0.057,0.9999,8.6,5
white,0.23,0.172,0.9937,9.4,6
white,0.24,0.173,0.9937,9.4,6
white,0.31,0.069,0.9954,9.8,6
white,0.24,0.057,0.9934,9.5,6
white,0.23,0.06,0.9934,9.5,6
white,0.18,0.058,0.9931,10,7
white,0.45,0.063,0.994,9.8,4
white,0.46,0.066,0.9939,9.8,5
white,0.31,0.069,0.9954,9.8,6
white,0.19,0.067,0.995,9.8,5
white,0.19,0.062,0.9917,11.7,6
white,0.25,0.068,0.9914,11,7
white,0.16,0.057,0.991,10.9,7
white,0.18,0.045,0.9911,10.9,6
white,0.2,0.147,0.993,9.1,6
white,0.25,0.039,0.9908,11,6
white,0.21,0.043,0.9962,9.6,6
white,0.19,0.048,0.9972,8.9,6
white,0.38,0.044,0.9931,10.2,6
white,0.2,0.038,0.9926,9.9,6
white,0.22,0.092,0.9951,8.6,6
white,0.19,0.048,0.9972,8.9,6
white,0.47,0.035,0.991,10.5,5
white,0.38,0.044,0.9931,10.2,6
white,0.24,0.038,0.9927,10.3,6
white,0.35,0.064,0.9934,9.1,5
white,0.26,0.04,0.9903,12.6,7
white,0.25,0.041,0.992,9.8,5
white,0.23,0.046,0.9926,10.7,8
white,0.24,0.05,0.9962,9.5,5
white,0.27,0.056,0.9956,9,6
white,0.3,0.061,0.9958,9.5,5
white,0.27,0.063,0.9964,10,5
white,0.23,0.054,0.9941,9.1,6
white,0.23,0.046,0.9926,10.7,8
white,0.24,0.05,0.9962,9.5,5
white,0.18,0.043,0.9898,12.7,7
white,0.32,0.042,0.9912,12,7
white,0.18,0.064,0.9961,9.3,5
white,0.54,0.06,0.9949,9,5
white,0.22,0.053,0.9929,10.6,6
white,0.2,0.05,0.9985,9.2,6
white,0.34,0.063,0.9946,10,5
white,0.22,0.047,0.9966,9.5,6
white,0.43,0.045,0.9974,8.7,5
white,0.44,0.044,0.9975,8.7,6
white,0.39,0.044,0.9974,8.7,6
white,0.25,0.05,0.9972,9.7,6
white,0.43,0.045,0.9974,8.7,5
white,0.44,0.044,0.9975,8.7,6
white,0.39,0.044,0.9974,8.7,6
white,0.27,0.049,0.9957,9,5
white,0.24,0.035,0.99,12.6,7
white,0.21,0.034,0.9899,12.6,7
white,0.17,0.04,0.9916,11.5,7
white,0.26,0.044,0.9969,9.2,6
white,0.34,0.046,0.9979,8.8,6
white,0.265,0.034,0.9913,11.4,7
white,0.36,0.038,0.9956,10.1,4
white,0.34,0.046,0.9979,8.8,6
white,0.25,0.06,0.9975,9.1,5
white,0.12,0.054,0.9962,9.4,5
white,0.21,0.05,0.997,9.4,5
white,0.305,0.059,1,9,5
white,0.25,0.06,0.9975,9.1,5
white,0.13,0.051,0.9974,9.2,6
white,0.12,0.054,0.9962,9.4,5
white,0.23,0.04,0.999,9.1,6
white,0.23,0.04,0.999,9.1,6
white,0.33,0.051,0.9927,10.3,5
white,0.17,0.082,0.9959,8.8,6
white,0.27,0.052,1,8.9,5
white,0.31,0.056,0.9982,9.2,5
white,0.41,0.049,0.9968,9.1,5
white,0.41,0.049,0.9968,9.1,5
white,0.485,0.065,0.994,9.7,4
white,0.31,0.041,0.9914,11.3,6
white,0.14,0.035,0.9911,11.8,6
white,0.31,0.056,0.9982,9.2,5
white,0.32,0.06,0.9982,9.2,5
white,0.36,0.046,0.9934,10.2,5
white,0.24,0.054,0.9984,8.8,5
white,0.16,0.059,0.9952,9.7,5
white,0.19,0.058,0.9952,9.1,6
white,0.13,0.092,0.9928,9.8,6
white,0.19,0.026,0.9912,11,6
white,0.39,0.033,0.994,10.5,5
white,0.24,0.038,0.9958,9.7,7
white,0.3,0.044,0.9924,10.9,7
white,0.3,0.046,0.9924,10.9,6
white,0.26,0.02,0.994,10.6,5
white,0.24,0.038,0.9958,9.7,7
white,0.425,0.038,0.9979,9,5
white,0.24,0.035,0.9982,9.2,5
white,0.27,0.034,0.9961,8.9,5
white,0.27,0.036,0.9979,9.6,5
white,0.23,0.027,0.992,10.7,6
white,0.37,0.045,0.9975,8.7,5
white,0.19,0.035,0.9917,10.8,7
white,0.28,0.029,0.9923,11.8,6
white,0.31,0.045,0.9927,10.2,5
white,0.37,0.045,0.9975,8.7,5
white,0.21,0.039,0.992,10.8,6
white,0.21,0.036,0.9947,9.7,6
white,0.2,0.037,0.9921,11.2,6
white,0.255,0.04,0.9905,10.9,6
white,0.16,0.044,0.9918,10.1,6
white,0.595,0.058,0.9951,9,4
white,0.34,0.034,0.9917,12,7
white,0.25,0.054,0.994,9.4,6
white,0.22,0.043,0.9934,11.5,7
white,0.18,0.055,0.9968,9.9,6
white,0.25,0.054,0.994,9.4,6
white,0.18,0.048,0.9919,10.4,5
white,0.23,0.049,0.9966,9.7,6
white,0.24,0.066,0.9979,8.9,6
white,0.24,0.066,0.9979,8.9,6
white,0.32,0.036,0.9898,12.4,7
white,0.44,0.036,0.9894,12.1,8
white,0.44,0.036,0.9894,12.1,8
white,0.32,0.036,0.9898,12.4,7
white,0.22,0.055,0.998,9.1,5
white,0.36,0.049,0.9932,10.6,5
white,0.24,0.066,0.9979,8.9,6
white,0.24,0.05,0.997,9.5,5
white,0.23,0.051,0.9972,9.8,5
white,0.27,0.048,0.9974,9.6,6
white,0.46,0.034,0.9896,12.6,7
white,0.29,0.055,0.9968,9.3,5
white,0.42,0.034,0.9958,10,5
white,0.3,0.066,0.9906,12.7,6
white,0.19,0.045,0.9917,11,6
white,0.48,0.037,0.9902,11.4,4
white,0.22,0.038,0.9918,11.5,7
white,0.27,0.051,0.999,10.2,5
white,0.23,0.04,0.9927,11.4,6
white,0.32,0.044,0.991,12.6,4
white,0.23,0.054,0.9972,9.4,5
white,0.67,0.06,0.9931,8.7,4
white,0.25,0.049,0.995,9.2,6
white,0.33,0.048,0.9951,9.3,6
white,0.34,0.053,0.9936,9.2,5
