type,volatile acidity,chlorides,density,pH,alcohol,quality
white,0.27,0.045,1.001,3,8.8,6
white,0.3,0.049,0.994,3.3,9.5,6
white,0.28,0.05,0.9951,3.26,10.1,6
white,0.23,0.058,0.9956,3.19,9.9,6
white,0.23,0.058,0.9956,3.19,9.9,6
white,0.28,0.05,0.9951,3.26,10.1,6
white,0.32,0.045,0.9949,3.18,9.6,6
white,0.27,0.045,1.001,3,8.8,6
white,0.3,0.049,0.994,3.3,9.5,6
white,0.22,0.044,0.9938,3.22,11,6
white,0.27,0.033,0.9908,2.99,12,5
white,0.23,0.035,0.9947,3.14,9.7,5
white,0.18,0.04,0.992,3.18,10.8,5
white,0.16,0.044,0.9912,3.54,12.4,7
white,0.42,0.04,1.0002,2.98,9.7,5
white,0.17,0.032,0.9914,3.25,11.4,7
white,0.48,0.046,0.9928,3.24,9.6,6
white,0.66,0.029,0.9892,3.33,12.8,8
white,0.34,0.033,0.9917,3.12,11.3,6
white,0.31,0.044,0.9955,3.22,9.5,5
white,0.66,0.029,0.9892,3.33,12.8,8
white,0.31,0.038,0.9912,3.17,11,7
white,0.26,0.049,0.993,3.47,10.5,8
white,0.67,0.074,0.9937,3.05,9.3,5
white,0.27,0.052,0.9951,3.42,10,6
white,0.25,0.046,0.9955,3.25,10.4,6
white,0.24,0.052,0.993,3.45,10,6
white,0.28,0.051,0.9961,3.38,10.5,6
white,0.27,0.047,0.9914,3.19,11.6,6
white,0.32,0.033,0.9906,3.1,12.3,7
white,0.24,0.044,0.9974,3.2,10,6
white,0.14,0.042,0.9934,3.47,10.2,6
white,0.25,0.05,0.992,3.19,10.8,6
white,0.12,0.045,0.9939,3.42,9,6
white,0.27,0.044,0.9962,3.37,10.2,5
white,0.28,0.08,0.9905,3.19,12.8,5
white,0.39,0.051,0.9934,3.24,10,5
white,0.33,0.053,0.9906,3.13,11.2,6
white,0.24,0.057,0.9999,3.21,8.6,5
white,0.24,0.057,0.9999,3.21,8.6,5
white,0.23,0.172,0.9937,3.11,9.4,6
white,0.24,0.173,0.9937,3.1,9.4,6
white,0.31,0.069,0.9954,3.13,9.8,6
white,0.24,0.057,0.9934,3.22,9.5,6
white,0.23,0.06,0.9934,3.24,9.5,6
white,0.18,0.058,0.9931,3.16,10,7
white,0.45,0.063,0.994,3.27,9.8,4
white,0.46,0.066,0.9939,3.25,9.8,5
white,0.31,0.069,0.9954,3.13,9.8,6
white,0.19,0.067,0.995,3.36,9.8,5
white,0.19,0.062,0.9917,3.35,11.7,6
white,0.25,0.068,0.9914,3.34,11,7
white,0.16,0.057,0.991,3.32,10.9,7
white,0.18,0.045,0.9911,3.31,10.9,6
white,0.2,0.147,0.993,3.05,9.1,6
white,0.25,0.039,0.9908,3.13,11,6
white,0.21,0.043,0.9962,3.09,9.6,6
white,0.19,0.048,0.9972,3.3,8.9,6
white,0.38,0.044,0.9931,3.11,10.2,6
white,0.2,0.038,0.9926,3.36,9.9,6
white,0.22,0.092,0.9951,3.03,8.6,6
white,0.19,0.048,0.9972,3.3,8.9,6
white,0.47,0.035,0.991,3.02,10.5,5
white,0.38,0.044,0.9931,3.11,10.2,6
white,0.24,0.038,0.9927,3.15,10.3,6
white,0.35,0.064,0.9934,3.22,9.1,5
white,0.26,0.04,0.9903,3.22,12.6,7
white,0.25,0.041,0.992,3.14,9.8,5
white,0.23,0.046,0.9926,3.33,10.7,8
white,0.24,0.05,0.9962,3.13,9.5,5
white,0.27,0.056,0.9956,3.1,9,6
white,0.3,0.061,0.9958,3.32,9.5,5
white,0.27,0.063,0.9964,3.69,10,5
white,0.23,0.054,0.9941,2.95,9.1,6
white,0.23,0.046,0.9926,3.33,10.7,8
white,0.24,0.05,0.9962,3.13,9.5,5
white,0.18,0.043,0.9898,3.26,12.7,7
white,0.32,0.042,0.9912,3.31,12,7
white,0.18,0.064,0.9961,2.94,9.3,5
white,0.54,0.06,0.9949,3.27,9,5
